"","industry_code","industry_title","2012.qtr1","2012.qtr2","2012.qtr3","2012.qtr4","2013.qtr1","2013.qtr2","2013.qtr3","2013.qtr4","2014.qtr1","2014.qtr2","2014.qtr3","2014.qtr4","2015.qtr1","2015.qtr2","2015.qtr3","2015.qtr4","2016.qtr1","2016.qtr2","2016.qtr3","2016.qtr4","total_missing","consecutive_missing"
"20","311611","Animal, except poultry, slaughtering",510,498,506,519,397,465,464,478,471,433,434,457,454,417,420,465,398,NA,NA,NA,3,3
"21","31213","Wineries",NA,NA,NA,NA,NA,NA,194,189,218,201,226,254,239,275,311,344,352,359,333,333,6,6
"22","312130","Wineries",NA,NA,NA,NA,NA,NA,194,189,218,201,226,254,239,275,311,344,352,359,333,333,6,6
"23","31214","Distilleries",NA,NA,NA,NA,NA,NA,364,375,380,375,391,384,395,394,415,468,485,482,475,481,6,6
"24","312140","Distilleries",NA,NA,NA,NA,NA,NA,364,375,380,375,391,384,395,394,415,468,485,482,475,481,6,6
"25","3131","Fiber, yarn, and thread mills",20,24,25,23,9,NA,NA,NA,NA,21,20,NA,32,30,31,30,36,41,45,48,5,4
"26","31311","Fiber, yarn, and thread mills",20,24,25,23,9,NA,NA,NA,NA,21,20,NA,32,30,31,30,36,41,45,48,5,4
"27","313110","Fiber, yarn, and thread mills",20,24,25,23,9,NA,NA,NA,NA,21,20,NA,32,30,31,30,36,41,45,48,5,4
"28","3132","Fabric mills",414,412,404,415,262,NA,NA,NA,NA,495,468,NA,476,473,484,553,538,502,500,514,5,4
"29","31321","Broadwoven fabric mills",NA,NA,NA,NA,22,25,25,25,147,130,119,128,117,117,120,145,143,143,154,162,4,4
"30","313210","Broadwoven fabric mills",NA,NA,NA,NA,22,25,25,25,147,130,119,128,117,117,120,145,143,143,154,162,4,4
"31","321213","Engineered wood member manufacturing",113,134,145,199,150,151,162,162,138,64,61,61,61,109,123,126,108,115,NA,NA,2,2
"32","326211","Tire manufacturing, except retreading",16,NA,22,NA,16,17,17,16,19,19,17,17,18,21,21,31,21,20,21,21,2,1
"33","326212","Tire retreading",254,NA,243,NA,214,224,226,225,230,225,228,220,224,228,225,232,205,208,209,207,2,1
"34","327211","Flat glass manufacturing",273,304,373,383,271,355,390,387,405,431,456,431,397,425,447,NA,NA,NA,NA,NA,5,5
"35","32741","Lime manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8
"36","327410","Lime manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8
"37","32742","Gypsum product manufacturing",639,652,642,614,584,590,584,551,544,564,584,590,NA,NA,NA,NA,NA,NA,NA,NA,8,8
"38","327420","Gypsum product manufacturing",639,652,642,614,584,590,584,551,544,564,584,590,NA,NA,NA,NA,NA,NA,NA,NA,8,8
"39","327993","Mineral wool manufacturing",NA,NA,NA,NA,532,541,540,525,499,513,525,530,525,522,512,505,484,NA,NA,NA,7,4
"40","327999","Miscellaneous nonmetallic mineral products",509,516,536,530,503,494,492,502,403,423,423,455,NA,NA,NA,NA,NA,466,492,NA,6,5
"41","331315","Aluminum sheet, plate, and foil manufacturing",NA,39,39,NA,NA,NA,NA,NA,35,36,44,38,43,35,39,54,59,55,59,64,6,1
"42","331491","Nonferrous metal, except cu and al, shaping",207,220,203,202,204,199,204,212,NA,NA,224,235,230,209,200,200,NA,NA,NA,NA,6,2
"43","331492","Secondary processing of other nonferrous",364,393,431,461,454,494,505,519,NA,NA,521,526,510,521,529,533,NA,NA,NA,NA,6,2
"44","332112","Nonferrous forging",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8
"45","332114","Custom roll forming",NA,21,20,NA,33,34,36,36,NA,33,32,NA,29,27,25,28,39,37,44,44,4,1
"46","332911","Industrial valve manufacturing",NA,NA,NA,NA,382,399,415,421,494,505,522,545,551,546,543,521,509,496,467,462,4,4
"47","332913","Plumbing fixture fitting and trim mfg.",NA,NA,NA,187,166,180,191,214,152,151,135,145,190,233,248,231,197,165,130,119,3,3
"48","332919","Other metal valve and pipe fitting mfg.",149,150,148,NA,147,152,146,146,167,179,174,180,190,197,193,182,174,178,185,188,1,1
"49","332991","Ball and roller bearing manufacturing",NA,NA,NA,31,29,28,27,28,28,30,30,30,59,59,60,61,60,59,63,67,3,3
"50","332993","Ammunition, except small arms, manufacturing",NA,NA,NA,229,224,223,204,194,170,181,166,161,162,158,153,150,150,159,160,151,3,3
"51","333242","Semiconductor machinery manufacturing",169,173,181,184,NA,NA,NA,NA,158,166,175,179,194,192,194,199,203,210,206,229,4,4
"52","333243","Sawmill, woodworking, and paper machinery mfg",71,77,76,79,NA,NA,NA,NA,81,102,103,93,96,95,87,87,86,91,101,104,4,4
"53","333611","Turbine and turbine generator set units mfg.",766,645,552,601,NA,505,485,NA,756,749,743,754,753,845,1000,1081,1182,1132,1147,1155,2,1
"54","333612","Speed changer, drive, and gear manufacturing",433,436,442,452,451,NA,448,NA,NA,NA,NA,NA,429,427,425,NA,413,436,429,431,7,1
"55","333613","Mechanical power transmission equipment mfg.",49,50,52,51,NA,NA,56,92,NA,NA,NA,NA,77,111,84,NA,89,73,73,212,7,2
"56","333991","Power-driven handtool manufacturing",14,16,18,16,17,17,18,20,25,19,19,18,NA,NA,NA,NA,NA,NA,NA,NA,8,8
"57","3361","Motor vehicle manufacturing",NA,NA,NA,NA,NA,NA,NA,NA,1091,1051,1059,1052,1071,1118,1166,1152,1206,1202,1217,1274,8,8
"58","33612","Heavy duty truck manufacturing",NA,NA,NA,NA,NA,NA,NA,NA,1026,982,984,973,997,1041,1090,1077,1102,1102,1119,1175,8,8
"59","336120","Heavy duty truck manufacturing",NA,NA,NA,NA,NA,NA,NA,NA,1026,982,984,973,997,1041,1090,1077,1102,1102,1119,1175,8,8
"60","336214","Travel trailer and camper manufacturing",568,661,665,628,734,765,761,NA,832,892,901,899,930,985,1011,992,1041,1105,1133,1067,1,1
"61","33637","Motor vehicle metal stamping",302,311,323,323,309,301,296,289,NA,NA,NA,NA,202,204,NA,NA,264,289,288,307,6,4
"62","336370","Motor vehicle metal stamping",302,311,323,323,309,301,296,289,NA,NA,NA,NA,202,204,NA,NA,264,289,288,307,6,4
"63","3369","Other transportation equipment manufacturing",865,897,888,852,845,840,839,766,710,NA,674,NA,705,744,680,683,696,721,744,743,2,1
"64","33699","Other transportation equipment manufacturing",865,897,888,852,845,840,839,766,710,NA,674,NA,705,744,680,683,696,721,744,743,2,1
"65","336991","Motorcycle, bicycle, and parts manufacturing",NA,213,215,NA,213,230,244,238,227,235,216,215,222,284,227,214,206,226,228,210,2,1
"66","336992","Military armored vehicles and tank parts mfg.",NA,400,388,NA,333,283,272,209,191,NA,164,NA,184,162,153,173,190,179,167,165,4,1
"67","339992","Musical instrument manufacturing",84,84,88,82,84,81,76,78,77,65,64,65,NA,NA,NA,NA,60,NA,NA,NA,7,4
"68","339995","Burial casket manufacturing",7,8,14,13,13,12,13,14,15,17,15,13,NA,NA,NA,NA,5,NA,NA,NA,7,4
"69","4869","Other pipeline transportation",111,112,109,113,116,112,109,115,127,NA,NA,119,NA,NA,NA,182,211,215,217,188,5,2
"70","488111","Air traffic control",290,300,305,311,302,300,296,302,296,298,308,308,298,296,295,298,293,296,NA,NA,2,2
"71","488119","Other airport operations",7988,7857,7786,8345,8332,8317,8169,8593,8644,8668,8567,8805,9118,9246,9575,10373,10420,10481,NA,NA,2,2
"72","52512","Health and welfare funds",35,42,54,NA,NA,84,90,NA,90,84,83,87,NA,NA,NA,NA,73,76,72,78,7,2
"73","525120","Health and welfare funds",35,42,54,NA,NA,84,90,NA,90,84,83,87,NA,NA,NA,NA,73,76,72,78,7,2
"74","52519","Other insurance funds",772,848,765,780,44,NA,NA,NA,NA,NA,NA,NA,70,80,79,119,116,121,133,149,7,7
"75","525190","Other insurance funds",772,848,765,780,44,NA,NA,NA,NA,NA,NA,NA,70,80,79,119,116,121,133,149,7,7
"76","5259","Other investment pools and funds",NA,NA,NA,1303,230,262,248,278,306,317,354,379,376,413,439,484,650,656,687,691,3,3
"77","52591","Open-end investment funds",361,NA,NA,NA,18,19,21,28,35,44,58,80,82,86,91,90,64,67,69,59,3,3
"78","525910","Open-end investment funds",361,NA,NA,NA,18,19,21,28,35,44,58,80,82,86,91,90,64,67,69,59,3,3
"79","52592","Trusts, estates, and agency accounts",NA,359,363,NA,122,135,107,121,119,118,133,121,129,130,145,181,201,202,215,241,2,1
"80","525920","Trusts, estates, and agency accounts",NA,359,363,NA,122,135,107,121,119,118,133,121,129,130,145,181,201,202,215,241,2,1
"81","72112","Casino hotels",NA,NA,129,177,241,289,301,406,349,445,669,725,690,736,783,758,751,793,741,737,2,2
"82","721120","Casino hotels",NA,NA,129,177,241,289,301,406,349,445,669,725,690,736,783,758,751,793,741,737,2,2
"83","72119","Other traveler accommodation",NA,NA,1392,1453,1743,1796,1773,1782,1990,2082,2027,2138,2316,2230,2092,2154,2069,2127,2123,2178,2,2
"84","721199","All other traveler accommodation",NA,NA,684,726,989,1016,1010,1070,1264,1342,1332,1430,1575,1500,1405,1445,1353,1378,1413,1467,2,2
