"","industry_code","industry_title","2012.qtr1","2012.qtr2","2012.qtr3","2012.qtr4","2013.qtr1","2013.qtr2","2013.qtr3","2013.qtr4","2014.qtr1","2014.qtr2","2014.qtr3","2014.qtr4","2015.qtr1","2015.qtr2","2015.qtr3","2015.qtr4","2016.qtr1","2016.qtr2","2016.qtr3","2016.qtr4"
"48","332919","Other metal valve and pipe fitting mfg.",149,150,148,149,147,152,146,146,167,179,174,180,190,197,193,182,174,178,185,188
"49","332991","Ball and roller bearing manufacturing",31,32,33,31,29,28,27,28,28,30,30,30,59,59,60,61,60,59,63,67
"50","332993","Ammunition, except small arms, manufacturing",329,268,215,229,224,223,204,194,170,181,166,161,162,158,153,150,150,159,160,151
"51","333242","Semiconductor machinery manufacturing",169,173,181,184,175,169,155,151,158,166,175,179,194,192,194,199,203,210,206,229
"52","333243","Sawmill, woodworking, and paper machinery mfg",71,77,76,79,102,103,95,96,81,102,103,93,96,95,87,87,86,91,101,104
"53","333611","Turbine and turbine generator set units mfg.",766,645,552,601,501,505,485,486,756,749,743,754,753,845,1000,1081,1182,1132,1147,1155
"54","333612","Speed changer, drive, and gear manufacturing",433,436,442,452,451,454,448,438,423,409,429,435,429,427,425,412,413,436,429,431
"55","333613","Mechanical power transmission equipment mfg.",49,50,52,51,44,50,56,92,62,74,64,178,77,111,84,156,89,73,73,212
"56","333991","Power-driven handtool manufacturing",14,16,18,16,17,17,18,20,25,19,19,18,20,20,20,20,18,19,20,19
"57","3361","Motor vehicle manufacturing",772,757,762,753,761,764,771,758,1091,1051,1059,1052,1071,1118,1166,1152,1206,1202,1217,1274
"58","33612","Heavy duty truck manufacturing",691,686,690,683,687,694,698,681,1026,982,984,973,997,1041,1090,1077,1102,1102,1119,1175
"59","336120","Heavy duty truck manufacturing",691,686,690,683,687,694,698,681,1026,982,984,973,997,1041,1090,1077,1102,1102,1119,1175
"60","336214","Travel trailer and camper manufacturing",568,661,665,628,734,765,761,752,832,892,901,899,930,985,1011,992,1041,1105,1133,1067
"61","33637","Motor vehicle metal stamping",302,311,323,323,309,301,296,289,209,204,196,192,202,204,201,202,264,289,288,307
"62","336370","Motor vehicle metal stamping",302,311,323,323,309,301,296,289,209,204,196,192,202,204,201,202,264,289,288,307
"63","3369","Other transportation equipment manufacturing",865,897,888,852,845,840,839,766,710,712,674,684,705,744,680,683,696,721,744,743
"64","33699","Other transportation equipment manufacturing",865,897,888,852,845,840,839,766,710,712,674,684,705,744,680,683,696,721,744,743
"65","336991","Motorcycle, bicycle, and parts manufacturing",201,213,215,214,213,230,244,238,227,235,216,215,222,284,227,214,206,226,228,210
"66","336992","Military armored vehicles and tank parts mfg.",397,400,388,359,333,283,272,209,191,184,164,176,184,162,153,173,190,179,167,165
"67","339992","Musical instrument manufacturing",84,84,88,82,84,81,76,78,77,65,64,65,70,65,60,61,60,62,60,59
"68","339995","Burial casket manufacturing",7,8,14,13,13,12,13,14,15,17,15,13,4,4,5,5,5,5,4,3
"69","4869","Other pipeline transportation",111,112,109,113,116,112,109,115,127,123,119,119,119,113,114,182,211,215,217,188
"70","488111","Air traffic control",290,300,305,311,302,300,296,302,296,298,308,308,298,296,295,298,293,296,295,289
"71","488119","Other airport operations",7988,7857,7786,8345,8332,8317,8169,8593,8644,8668,8567,8805,9118,9246,9575,10373,10420,10481,10363,10768
"72","52512","Health and welfare funds",35,42,54,54,77,84,90,88,90,84,83,87,52,52,56,65,73,76,72,78
"73","525120","Health and welfare funds",35,42,54,54,77,84,90,88,90,84,83,87,52,52,56,65,73,76,72,78
"74","52519","Other insurance funds",772,848,765,780,44,42,43,46,47,58,68,75,70,80,79,119,116,121,133,149
"75","525190","Other insurance funds",772,848,765,780,44,42,43,46,47,58,68,75,70,80,79,119,116,121,133,149
"76","5259","Other investment pools and funds",1179,1183,1181,1303,230,262,248,278,306,317,354,379,376,413,439,484,650,656,687,691
"77","52591","Open-end investment funds",361,345,337,374,18,19,21,28,35,44,58,80,82,86,91,90,64,67,69,59
"78","525910","Open-end investment funds",361,345,337,374,18,19,21,28,35,44,58,80,82,86,91,90,64,67,69,59
"79","52592","Trusts, estates, and agency accounts",345,359,363,364,122,135,107,121,119,118,133,121,129,130,145,181,201,202,215,241
"80","525920","Trusts, estates, and agency accounts",345,359,363,364,122,135,107,121,119,118,133,121,129,130,145,181,201,202,215,241
"81","72112","Casino hotels",120,113,129,177,241,289,301,406,349,445,669,725,690,736,783,758,751,793,741,737
"82","721120","Casino hotels",120,113,129,177,241,289,301,406,349,445,669,725,690,736,783,758,751,793,741,737
"83","72119","Other traveler accommodation",1259,1343,1392,1453,1743,1796,1773,1782,1990,2082,2027,2138,2316,2230,2092,2154,2069,2127,2123,2178
"84","721199","All other traveler accommodation",574,622,684,726,989,1016,1010,1070,1264,1342,1332,1430,1575,1500,1405,1445,1353,1378,1413,1467
