"","industry_code","industry_title","2012.qtr1","2012.qtr2","2012.qtr3","2012.qtr4","2013.qtr1","2013.qtr2","2013.qtr3","2013.qtr4","2014.qtr1","2014.qtr2","2014.qtr3","2014.qtr4","2015.qtr1","2015.qtr2","2015.qtr3","2015.qtr4","2016.qtr1","2016.qtr2","2016.qtr3","2016.qtr4"
"1354","4869","Other pipeline transportation",8,8,9,11,11,11,11,12,10,10,10,9,9,9,9,14,18,18,18,17
"1372","488111","Air traffic control",8,8,8,8,8,9,9,9,9,9,10,10,11,10,11,11,11,10,10,10
"1373","488119","Other airport operations",171,170,173,182,186,182,178,185,181,179,186,184,187,188,198,195,201,198,200,203
"1578","52512","Health and welfare funds",17,17,21,24,19,20,20,23,24,27,26,24,22,22,22,23,21,23,27,26
"1579","525120","Health and welfare funds",17,17,21,24,19,20,20,23,24,27,26,24,22,22,22,23,21,23,27,26
"1580","52519","Other insurance funds",52,54,51,53,8,8,8,12,11,16,20,22,25,28,29,33,36,38,38,38
"1581","525190","Other insurance funds",52,54,51,53,8,8,8,12,11,16,20,22,25,28,29,33,36,38,38,38
"1582","5259","Other investment pools and funds",352,345,345,350,154,162,164,179,180,192,200,213,210,217,241,255,262,278,283,298
"1583","52591","Open-end investment funds",48,51,54,53,13,15,17,24,30,34,36,37,38,38,43,48,48,48,48,47
"1584","525910","Open-end investment funds",48,51,54,53,13,15,17,24,30,34,36,37,38,38,43,48,48,48,48,47
"1585","52592","Trusts, estates, and agency accounts",148,146,144,149,92,95,91,96,90,90,91,95,89,97,112,120,121,127,130,143
"1586","525920","Trusts, estates, and agency accounts",148,146,144,149,92,95,91,96,90,90,91,95,89,97,112,120,121,127,130,143
"2026","72112","Casino hotels",7,8,11,11,14,15,16,17,17,17,18,18,19,19,20,20,21,16,16,18
"2027","721120","Casino hotels",7,8,11,11,14,15,16,17,17,17,18,18,19,19,20,20,21,16,16,18
"2028","72119","Other traveler accommodation",191,195,202,210,219,221,223,225,231,238,248,247,249,247,245,250,241,238,244,245
"2030","721199","All other traveler accommodation",74,76,81,84,91,91,94,99,106,115,120,122,126,126,128,132,122,120,123,126
